id,author_cn_name,author_en_name,author_org,backups
103425,黄泽清,,马克思主义学院,马克思主义理论
103426,谢鹏鑫,"Xie, Pengxin",劳动人事学院,公共管理
103427,张当,,哲学院,哲学
103428,林雪,,商学院,工商管理
103429,彭蓉,,马克思主义学院,马克思主义理论
103430,李永娜,"Li, Yongna",心理学系,心理学
103431,弭宝瞳,"Mi, Baotong",信息学院,计算机科学与技术
103432,陈琼,,商学院,工商管理
103433,仝蕾,,法学院,法学
103434,赵泽皓,,财政金融学院,应用经济学
103435,侯景新,,经济学院,理论经济学
103436,杜锋峰,,信息资源管理学院,信息资源管理
103437,高婷,,商学院,工商管理
103438,冯隽,,新闻学院,新闻传播学
103439,唐明燕,,哲学院,哲学
103440,刘亚丁,,国际关系学院,政治学
103441,涂光晋,,新闻学院,新闻传播学
103442,陈先达,"Xianda, Chen",哲学院,哲学
103443,庞伟伟,,法学院,法学
103444,徐志明,"Xu, Zhiming",信息学院,计算机科学与技术
103445,黑龙,,历史学院,中国史
103446,张伟,,国际文化交流学院,语言学
103447,赵培红,,经济学院,理论经济学
103448,倪稞,,应用经济学院,应用经济学
103449,赵俊海,"Junhai, Zhao",哲学院,哲学
103450,潘桐,,社会与人口学院,社会学
103451,梅波,,统计学院,统计学
103452,张哲,,公共管理学院,公共管理
103453,李彧挥,,农业与农村发展学院,农林经济管理
103455,杨利英,,马克思主义学院,马克思主义理论
103456,刘庆,,法学院,法学
103457,赵国庆,"Zhao, Guo-Qing",经济学院,理论经济学
103458,宁静,,财政金融学院,应用经济学
103459,马晓强,,经济学院,理论经济学
103460,唐宋,,新闻学院,新闻传播学
103461,周玲,,哲学院,哲学
103462,王丽,,国际关系学院,政治学
103463,何富彩,,经济学院,理论经济学
103464,罗兰,,环境学院,环境科学与工程
103465,陈阳,,公共管理学院,公共管理
103466,邵蕾,"Shao, Lei",心理学系,心理学
103467,丁元耀,"Ding, Yuanyao",统计学院,统计学
103468,方芳,,公共管理学院,公共管理
103469,张丽曼,,马克思主义学院,马克思主义理论
103470,周琼,,历史学院,中国史
103471,李慧,,公共管理学院,公共管理
103472,陈敏,,信息资源管理学院,信息资源管理
103473,胡娟,"Hu, Juan",教育学院,教育学
103474,雷建锋,,国际关系学院,政治学
103475,夏行,,公共管理学院,公共管理
103476,杨超群,"Yang, Chaoqun",信息学院,计算机科学与技术
103477,陈志良,,哲学院,哲学
103478,曹炜,"Cao, Wei",法学院,法学
103479,杨涛,,财政金融学院,应用经济学
103480,刘璐琳,,农业与农村发展学院,农林经济管理
103481,陈航,,经济学院,理论经济学
103482,顾涛,,信息资源管理学院,信息资源管理
103483,王改娇,,信息资源管理学院,信息资源管理
103484,郭晓东,,信息资源管理学院,信息资源管理
103485,孙磊,,哲学院,哲学
103486,刘江涛,,商学院,工商管理
103487,张云华,,农业与农村发展学院,农林经济管理
103488,董宇,"Dong, Yu",信息资源管理学院,信息资源管理
103489,殷弘,"Yin, Hong",数学学院,数学
103490,普心怡,,统计学院,统计学
103491,李彬,,经济学院,理论经济学
103492,黄燕芬,,应用经济学院,应用经济学
103493,刘增光,"Zengguang, Liu;Liu, Zengguang",哲学院,哲学
103494,石磊,"Shi, Lei",信息资源管理学院,信息资源管理
103495,张震,,法学院,法学
103496,胡霞,,法学院,法学
103497,张子辉,,学新闻学院,
103498,余福海,,公共管理学院,公共管理
103499,陈志刚,,财政金融学院,应用经济学
103500,尹磊,,财政金融学院,应用经济学
103501,张琳,,财政金融学院,应用经济学
103502,杨书俊,,文学院,中国语言文学
103503,王乐理,,国际关系学院,政治学
103504,张琳,,马克思主义学院,马克思主义理论
103505,王宇,"Yu, Wang",社会与人口学院,社会学
103506,张浩然,,法学院,法学
103507,陈亚楠,"Chen, Yanan;Chen, Yanan",环境学院,环境科学与工程
103508,魏翔,,商学院,工商管理
103509,王静,,新闻学院,新闻传播学
103510,李玲,,经济学院,理论经济学
103511,邱鹏,,法学院,法学
103512,梅园,,信息资源管理学院,信息资源管理
103513,杨晶,,社会与人口学院,社会学
103514,唐明燕,,文学院,中国语言文学
103515,邓雨萌,,社会与人口学院,社会学
103516,张玉,,公共管理学院,公共管理
103517,陈勇兵,,商学院,工商管理
103518,高伟,"Wei, Gao",商学院,工商管理
103519,张娇,,农业与农村发展学院,农林经济管理
103520,张育智,,社会与人口学院,社会学
103521,阎豫桂,,经济学院,理论经济学
103522,张岩,,教育学院,教育学
103523,张琦,,公共管理学院,公共管理
103524,华天姿,,财政金融学院,应用经济学
103525,马雪峰,,经济学院,理论经济学
103526,毛燕,,外国语学院,外国语言文学
103527,王湘红,"Wang, Xianghong",经济学院,理论经济学
103528,宫兆轩,,新闻学院,新闻传播学
103529,李家福,,公共管理学院,公共管理
103530,解学成,,财政金融学院,应用经济学
103531,王丽丽,"Wang, Lili",信息资源管理学院,信息资源管理
103532,崔惠玲,,农业与农村发展学院,农林经济管理
103533,万庄,,应用经济学院,应用经济学
103534,董泽宇,,公共管理学院,公共管理
103535,萨日娜,,国家发展与战略研究院,应用经济学
103536,聂铄,,法学院,法学
103537,刘艺,,法学院,法学
103538,王晨,,环境学院,环境科学与工程
103539,王海龙,,商学院,工商管理
103540,李莹,,新闻学院,新闻传播学
103541,蒲俜,,国际关系学院,政治学
103542,陈芸,,文学院,中国语言文学
103543,单文鹏,,马克思主义学院,马克思主义理论
103544,王权,,新闻学院,新闻传播学
103545,文书锋,,心理学系,心理学
103546,陈金彪,,马克思主义学院,马克思主义理论
103547,刘娜,,法学院,法学
103548,李光伟,,历史学院,中国史
103549,王晖,,文学院,中国语言文学
103550,孙天琦,,文学院,中国语言文学
103551,刘永涛,,公共管理学院,公共管理
103552,陈丰元,,劳动人事学院,公共管理
103553,吴强,,国际关系学院,政治学
103554,邹秀春,,马克思主义学院,马克思主义理论
103555,程倩,,公共管理学院,公共管理
103556,赵玉洁,,商学院,工商管理
103557,郑维炜,"Zheng, Weiwei",法学院,法学
103558,王博,,哲学院,哲学
103559,李坤刚,,劳动人事学院,公共管理
103560,夏鹏,,公共管理学院,公共管理
103561,王悦,,商学院,工商管理
103562,吴冠之,,商学院,工商管理
103563,张浩然,,经济学院,理论经济学
103564,崔玉,,商学院,工商管理
103565,管华,,教育学院,教育学
103566,安瑞霞,,社会与人口学院,社会学
103567,周蕾,,哲学院,哲学
103568,张明东,,历史学院,中国史
103569,何天翔,,法学院,法学
103570,石静霞,"Jingxia, Shi",法学院,法学
103571,王申,,历史学院,中国史
103572,袁媛,,文学院,中国语言文学
103573,董俊祺,,新闻学院,新闻传播学
103574,李明,,财政金融学院,应用经济学
103575,张迪,,哲学院,哲学
103576,朱星星,,历史学院,中国史
103577,常伟,,农业与农村发展学院,农林经济管理
103578,王逸凡,,信息资源管理学院,信息资源管理
103579,宁军明,,经济学院,理论经济学
103580,任俊华,,哲学院,哲学
103581,苏志明,,哲学院,哲学
103582,周航,,教育学院,教育学
103583,翁昌寿,,新闻学院,新闻传播学
103584,刘聪,,文学院,中国语言文学
103586,张春雨,,国际关系学院,政治学
103587,于泽,,国家发展与战略研究院,应用经济学
103588,徐海静,,信息资源管理学院,信息资源管理
103589,袁海霞,,经济学院,理论经济学
103590,孙海泳,,国际关系学院,政治学
103591,李红娟,,社会与人口学院,社会学
103592,莫秀根,,财政金融学院,应用经济学
103593,莫玉梅,,历史学院,中国史
103594,杨威,,经济学院,理论经济学
103595,吴琼,,财政金融学院,应用经济学
103596,高扬,,经济学院,理论经济学
103597,周长信,,商学院,工商管理
103598,吴雅思,,哲学院,哲学
103599,王剑峰,,社会与人口学院,社会学
103600,任亮,,应用经济学院,应用经济学
103601,李景治,,国际关系学院,政治学
103602,黄泽清,,经济学院,理论经济学
103603,马丹,"Ma, Dan",信息学院,计算机科学与技术
103604,江燕,,马克思主义学院,马克思主义理论
103605,李红武,,社会与人口学院,社会学
103606,姚淑瑜,,商学院,工商管理
103607,陈蔚珠,,商学院,工商管理
