id,author_cn_name,author_en_name,author_org,backups
103001,刘向东,,马克思主义学院,马克思主义理论
103002,李钰,,马克思主义学院,马克思主义理论
103003,张银普,,劳动人事学院,公共管理
103004,石佳友,"Jiayou, Shi",法学院,法学
103005,王磊,,历史学院,中国史
103006,张洪忠,,新闻学院,新闻传播学
103007,薛忠斌,"Xue, Zhong-Bin",信息学院,计算机科学与技术
103008,范轶芳,,经济学院,理论经济学
103009,徐晓苗,,信息资源管理学院,信息资源管理
103010,董倞乔,,社会与人口学院,社会学
103011,孟校臣,,财政金融学院,应用经济学
103012,尚爱国,,法学院,法学
103013,王元超,,社会与人口学院,社会学
103014,傅璇,,商学院,工商管理
103015,孙冰,,历史学院,中国史
103016,王世贤,,法学院,法学
103017,严宇,,教育学院,教育学
103019,陈永莉,,国际文化交流学院,语言学
103020,李慧,,马克思主义学院,马克思主义理论
103021,尹俊芳,,马克思主义学院,马克思主义理论
