author_min,author_max,zw_cooper_num,scopus_cooper_num,total_cooper_num,interdiscipline
94407,98549,0,1,1,1
100682,115278,0,1,1,0
89920,107287,2,0,2,0
90374,107272,2,0,2,0
89093,105249,1,0,1,0
106028,109253,2,0,2,0
98028,104870,1,0,1,0
99006,112570,0,1,1,0
98807,101499,2,6,8,0
113726,114526,0,1,1,0
107479,114771,0,1,1,0
89570,104530,2,0,2,0
106284,109186,1,0,1,0
89087,98119,5,0,5,0
98694,109185,1,0,1,0
95459,95460,1,0,1,0
110141,115263,0,1,1,0
91447,104375,1,0,1,1
91540,108960,0,1,1,1
100527,109511,2,0,2,0
115269,115775,0,1,1,0
89894,99249,0,3,3,0
107290,107296,2,0,2,0
108880,114832,0,2,2,0
103947,109466,2,0,2,0
94897,107888,2,0,2,1
105627,110007,1,0,1,0
104028,115042,0,4,4,0
115415,116149,0,2,2,0
110323,111365,1,0,1,0
86994,103932,1,0,1,0
104401,113396,0,1,1,0
98807,113470,0,1,1,0
94658,114106,0,4,4,0
92892,105720,1,0,1,0
101131,108883,0,1,1,0
93261,113412,0,7,7,0
93018,103120,1,0,1,0
89586,103416,3,0,3,0
93906,115128,0,6,6,0
113417,113528,0,1,1,0
94395,105003,0,1,1,1
98968,100976,1,1,2,0
104611,111993,1,0,1,0
89506,107575,1,1,2,0
104429,108065,2,0,2,0
94638,111641,1,0,1,0
105231,106562,2,0,2,0
104032,112885,0,1,1,0
92274,99006,2,6,8,0
115415,116131,0,13,13,0
93121,93122,1,0,1,0
103072,116046,0,2,2,0
115330,115758,0,1,1,0
98872,105876,1,0,1,1
103713,106293,1,0,1,0
89554,113400,0,2,2,0
92348,103703,1,0,1,0
89990,95693,2,0,2,1
114106,115983,0,4,4,0
112640,115929,0,1,1,0
113875,114625,0,1,1,0
89237,105727,3,0,3,1
98429,99683,1,0,1,0
97278,106601,1,1,2,0
89920,96279,0,1,1,0
90879,104880,1,0,1,0
92183,104434,1,2,3,0
91924,103603,0,1,1,0
108264,113843,0,2,2,1
107309,113298,0,2,2,1
107479,114798,0,1,1,0
115415,116125,0,1,1,0
107204,116059,0,1,1,0
95364,101247,1,0,1,0
95355,101846,1,4,5,0
112619,112973,0,2,2,0
100281,110120,1,0,1,0
